No.,Starting_Point,Hub_Names_Starting,Ending_Point,Hub_Names_Ending,Distance
61,China,Shanghai Pudong International Airport (PVG),Vietnam,Tan Son Nhat International Airport (SGN),2740
62,Australia,Perth Airport (PER),Australia,Melbourne Airport (MEL),2706
63,France,Paris Charles de Gaulle Airport (CDG),Australia,Melbourne Airport (MEL),16753
64,France,Paris Orly Airport (ORY),Australia,Melbourne Airport (MEL),16770
65,France,Lyon-Saint Exupéry Airport (LYS),Australia,Melbourne Airport (MEL),16593
66,France,Marseille Provence Airport (MRS),Australia,Melbourne Airport (MEL),16578
67,France,Nice Côte d'Azur Airport (NCE),Australia,Melbourne Airport (MEL),16418
68,France,Toulouse-Blagnac Airport (TLS),Australia,Melbourne Airport (MEL),16889
69,France,Bordeaux-Mérignac Airport (BOD),Australia,Melbourne Airport (MEL),17051
70,France,Lille Airport (LIL),Australia,Melbourne Airport (MEL),16685
71,France,Vatry Airport (XCR),Australia,Melbourne Airport (MEL),16636
72,France,Strasbourg Airport (SXB),Australia,Melbourne Airport (MEL),16387
73,Hong Kong,Hong Kong International Airport (HKG),China,Shanghai Pudong International Airport (PVG),1254
74,Hong Kong,Hong Kong International Airport (HKG),China,Guangzhou Baiyun International Airport (CAN),136
75,Hong Kong,Hong Kong International Airport (HKG),China,Beijing Capital International Airport (PEK),1987
76,Hong Kong,Hong Kong International Airport (HKG),South Korea,Incheon International Airport (ICN),2065
77,Hong Kong,Hong Kong International Airport (HKG),Singapore,Singapore Changi Airport (SIN),2556
78,Hong Kong,Hong Kong International Airport (HKG),Taiwan,Taiwan Taoyuan International Airport (TPE),806
79,Hong Kong,Hong Kong International Airport (HKG),Japan,Narita International Airport (NRT),2965
80,Hong Kong,Hong Kong International Airport (HKG),Japan,Tokyo Haneda Airport (HND),2904
81,Hong Kong,Hong Kong International Airport (HKG),Malaysia,Kuala Lumpur International Airport (KUL),2535
82,Hong Kong,Hong Kong International Airport (HKG),Thailand,Bangkok Suvarnabhumi Airport (BKK),1688
83,Hong Kong,Hong Kong International Airport (HKG),India,Delhi Indira Gandhi International Airport (DEL),3753
84,Hong Kong,Hong Kong International Airport (HKG),India,Chennai International Airport (MAA),3717
85,Hong Kong,Hong Kong International Airport (HKG),Indonesia,Jakarta Soekarno-Hatta International Airport (CGK),3244
86,Hong Kong,Hong Kong International Airport (HKG),Philippines,Manila Ninoy Aquino International Airport (MNL),1143
87,Hong Kong,Hong Kong International Airport (HKG),Vietnam,Tan Son Nhat International Airport (SGN),1489
88,Hong Kong,Hong Kong International Airport (HKG),Bangladesh,Hazrat Shahjalal International Airport (DAC),2413
89,Hong Kong,Hong Kong International Airport (HKG),Pakistan,Jinnah International Airport (KHI),4758
90,Hong Kong,Hong Kong International Airport (HKG),UAE,Dubai International Airport (DXB),5930
91,Hong Kong,Hong Kong International Airport (HKG),Qatar,Hamad International Airport (DOH),6301
92,Hong Kong,Hong Kong International Airport (HKG),Turkey,Istanbul Airport (IST),8020
93,Hong Kong,Hong Kong International Airport (HKG),Saudi Arabia,King Abdulaziz International Airport (JED),7632
94,China,Shanghai Pudong International Airport (PVG),Hong Kong,Hong Kong International Airport (HKG),1254
95,China,Shanghai Pudong International Airport (PVG),China,Guangzhou Baiyun International Airport (CAN),1202
96,China,Shanghai Pudong International Airport (PVG),China,Beijing Capital International Airport (PEK),1098
97,China,Shanghai Pudong International Airport (PVG),South Korea,Incheon International Airport (ICN),820
98,China,Shanghai Pudong International Airport (PVG),Singapore,Singapore Changi Airport (SIN),3794
99,China,Shanghai Pudong International Airport (PVG),Taiwan,Taiwan Taoyuan International Airport (TPE),675
100,China,Shanghai Pudong International Airport (PVG),Japan,Narita International Airport (NRT),1799
101,China,Shanghai Pudong International Airport (PVG),Japan,Tokyo Haneda Airport (HND),1740
102,China,Shanghai Pudong International Airport (PVG),Malaysia,Kuala Lumpur International Airport (KUL),3787
103,China,Shanghai Pudong International Airport (PVG),Thailand,Bangkok Suvarnabhumi Airport (BKK),2894
104,China,Shanghai Pudong International Airport (PVG),India,Delhi Indira Gandhi International Airport (DEL),4301
105,China,Shanghai Pudong International Airport (PVG),India,Chennai International Airport (MAA),4707
106,China,Shanghai Pudong International Airport (PVG),Indonesia,Jakarta Soekarno-Hatta International Airport (CGK),4429
107,China,Shanghai Pudong International Airport (PVG),Philippines,Manila Ninoy Aquino International Airport (MNL),1844
108,China,Shanghai Pudong International Airport (PVG),Bangladesh,Hazrat Shahjalal International Airport (DAC),3195
109,China,Shanghai Pudong International Airport (PVG),Pakistan,Jinnah International Airport (KHI),5365
110,China,Shanghai Pudong International Airport (PVG),UAE,Dubai International Airport (DXB),6460
111,China,Shanghai Pudong International Airport (PVG),Qatar,Hamad International Airport (DOH),6809
112,China,Shanghai Pudong International Airport (PVG),Turkey,Istanbul Airport (IST),8038
113,China,Shanghai Pudong International Airport (PVG),Saudi Arabia,King Abdulaziz International Airport (JED),8129
114,China,Guangzhou Baiyun International Airport (CAN),Hong Kong,Hong Kong International Airport (HKG),136
115,China,Guangzhou Baiyun International Airport (CAN),China,Shanghai Pudong International Airport (PVG),1202
116,China,Guangzhou Baiyun International Airport (CAN),China,Beijing Capital International Airport (PEK),1876
117,China,Guangzhou Baiyun International Airport (CAN),South Korea,Incheon International Airport (ICN),2001
118,China,Guangzhou Baiyun International Airport (CAN),Singapore,Singapore Changi Airport (SIN),2638
119,China,Guangzhou Baiyun International Airport (CAN),Taiwan,Taiwan Taoyuan International Airport (TPE),826
120,China,Guangzhou Baiyun International Airport (CAN),Japan,Narita International Airport (NRT),2947
121,China,Guangzhou Baiyun International Airport (CAN),Japan,Tokyo Haneda Airport (HND),2886
122,China,Guangzhou Baiyun International Airport (CAN),Malaysia,Kuala Lumpur International Airport (KUL),2604
123,China,Guangzhou Baiyun International Airport (CAN),Thailand,Bangkok Suvarnabhumi Airport (BKK),1704
124,China,Guangzhou Baiyun International Airport (CAN),India,Delhi Indira Gandhi International Airport (DEL),3657
125,China,Guangzhou Baiyun International Airport (CAN),India,Chennai International Airport (MAA),3679
126,China,Guangzhou Baiyun International Airport (CAN),Indonesia,Jakarta Soekarno-Hatta International Airport (CGK),3345
