No.,Starting_Point,Hub_Names_Starting,Ending_Point,Hub_Names_Ending,Distance
294,Thailand,Bangkok Suvarnabhumi Airport (BKK),Philippines,Manila Ninoy Aquino International Airport (MNL),2190
295,Thailand,Bangkok Suvarnabhumi Airport (BKK),Vietnam,Tan Son Nhat International Airport (SGN),716
296,Thailand,Bangkok Suvarnabhumi Airport (BKK),Bangladesh,Hazrat Shahjalal International Airport (DAC),1566
297,Thailand,Bangkok Suvarnabhumi Airport (BKK),Pakistan,Jinnah International Airport (KHI),3730
298,Thailand,Bangkok Suvarnabhumi Airport (BKK),UAE,Dubai International Airport (DXB),4909
299,Thailand,Bangkok Suvarnabhumi Airport (BKK),Qatar,Hamad International Airport (DOH),5286
300,Thailand,Bangkok Suvarnabhumi Airport (BKK),Turkey,Istanbul Airport (IST),7519
301,Thailand,Bangkok Suvarnabhumi Airport (BKK),Saudi Arabia,King Abdulaziz International Airport (JED),6555
302,India,Delhi Indira Gandhi International Airport (DEL),Hong Kong,Hong Kong International Airport (HKG),3753
303,India,Delhi Indira Gandhi International Airport (DEL),China,Shanghai Pudong International Airport (PVG),4301
304,India,Delhi Indira Gandhi International Airport (DEL),China,Guangzhou Baiyun International Airport (CAN),3657
305,India,Delhi Indira Gandhi International Airport (DEL),China,Beijing Capital International Airport (PEK),3816
306,India,Delhi Indira Gandhi International Airport (DEL),South Korea,Incheon International Airport (ICN),4661
307,India,Delhi Indira Gandhi International Airport (DEL),Singapore,Singapore Changi Airport (SIN),4151
308,India,Delhi Indira Gandhi International Airport (DEL),Taiwan,Taiwan Taoyuan International Airport (TPE),4380
309,India,Delhi Indira Gandhi International Airport (DEL),Japan,Narita International Airport (NRT),5922
310,India,Delhi Indira Gandhi International Airport (DEL),Japan,Tokyo Haneda Airport (HND),5872
311,India,Delhi Indira Gandhi International Airport (DEL),Malaysia,Kuala Lumpur International Airport (KUL),3869
312,India,Delhi Indira Gandhi International Airport (DEL),Thailand,Bangkok Suvarnabhumi Airport (BKK),2947
313,India,Delhi Indira Gandhi International Airport (DEL),India,Chennai International Airport (MAA),1753
314,India,Delhi Indira Gandhi International Airport (DEL),Indonesia,Jakarta Soekarno-Hatta International Airport (CGK),4978
315,India,Delhi Indira Gandhi International Airport (DEL),Philippines,Manila Ninoy Aquino International Airport (MNL),4777
316,India,Delhi Indira Gandhi International Airport (DEL),Vietnam,Tan Son Nhat International Airport (SGN),3650
317,India,Delhi Indira Gandhi International Airport (DEL),Bangladesh,Hazrat Shahjalal International Airport (DAC),1427
318,India,Delhi Indira Gandhi International Airport (DEL),Pakistan,Jinnah International Airport (KHI),1068
319,India,Delhi Indira Gandhi International Airport (DEL),UAE,Dubai International Airport (DXB),2187
320,India,Delhi Indira Gandhi International Airport (DEL),Qatar,Hamad International Airport (DOH),2553
321,India,Delhi Indira Gandhi International Airport (DEL),Turkey,Istanbul Airport (IST),4574
322,India,Delhi Indira Gandhi International Airport (DEL),Saudi Arabia,King Abdulaziz International Airport (JED),3886
323,India,Chennai International Airport (MAA),Hong Kong,Hong Kong International Airport (HKG),3717
324,India,Chennai International Airport (MAA),China,Shanghai Pudong International Airport (PVG),4707
325,India,Chennai International Airport (MAA),China,Guangzhou Baiyun International Airport (CAN),3679
326,India,Chennai International Airport (MAA),China,Beijing Capital International Airport (PEK),4653
327,India,Chennai International Airport (MAA),South Korea,Incheon International Airport (ICN),5320
328,India,Chennai International Airport (MAA),Singapore,Singapore Changi Airport (SIN),2925
329,India,Chennai International Airport (MAA),Taiwan,Taiwan Taoyuan International Airport (TPE),4505
330,India,Chennai International Airport (MAA),Japan,Narita International Airport (NRT),6499
331,India,Chennai International Airport (MAA),Japan,Tokyo Haneda Airport (HND),6441
332,India,Chennai International Airport (MAA),Malaysia,Kuala Lumpur International Airport (KUL),2628
333,India,Chennai International Airport (MAA),Thailand,Bangkok Suvarnabhumi Airport (BKK),2230
334,India,Chennai International Airport (MAA),India,Delhi Indira Gandhi International Airport (DEL),1753
335,India,Chennai International Airport (MAA),Indonesia,Jakarta Soekarno-Hatta International Airport (CGK),3612
336,India,Chennai International Airport (MAA),Philippines,Manila Ninoy Aquino International Airport (MNL),4415
337,India,Chennai International Airport (MAA),Vietnam,Tan Son Nhat International Airport (SGN),2894
338,India,Chennai International Airport (MAA),Bangladesh,Hazrat Shahjalal International Airport (DAC),1615
339,India,Chennai International Airport (MAA),Pakistan,Jinnah International Airport (KHI),1899
340,India,Chennai International Airport (MAA),UAE,Dubai International Airport (DXB),2934
341,India,Chennai International Airport (MAA),Qatar,Hamad International Airport (DOH),3288
342,India,Chennai International Airport (MAA),Turkey,Istanbul Airport (IST),5870
343,India,Chennai International Airport (MAA),Saudi Arabia,King Abdulaziz International Airport (JED),4451
344,Indonesia,Jakarta Soekarno-Hatta International Airport (CGK),Hong Kong,Hong Kong International Airport (HKG),3244
345,Indonesia,Jakarta Soekarno-Hatta International Airport (CGK),China,Shanghai Pudong International Airport (PVG),4429
346,Indonesia,Jakarta Soekarno-Hatta International Airport (CGK),China,Guangzhou Baiyun International Airport (CAN),3345
347,Indonesia,Jakarta Soekarno-Hatta International Airport (CGK),China,Beijing Capital International Airport (PEK),5216
348,Indonesia,Jakarta Soekarno-Hatta International Airport (CGK),South Korea,Incheon International Airport (ICN),5244
349,Indonesia,Jakarta Soekarno-Hatta International Airport (CGK),Singapore,Singapore Changi Airport (SIN),878
350,Indonesia,Jakarta Soekarno-Hatta International Airport (CGK),Taiwan,Taiwan Taoyuan International Airport (TPE),3796
351,Indonesia,Jakarta Soekarno-Hatta International Airport (CGK),Japan,Narita International Airport (NRT),5826
352,Indonesia,Jakarta Soekarno-Hatta International Airport (CGK),Japan,Tokyo Haneda Airport (HND),5770
353,Indonesia,Jakarta Soekarno-Hatta International Airport (CGK),Malaysia,Kuala Lumpur International Airport (KUL),1125
354,Indonesia,Jakarta Soekarno-Hatta International Airport (CGK),Thailand,Bangkok Suvarnabhumi Airport (BKK),2287
355,Indonesia,Jakarta Soekarno-Hatta International Airport (CGK),India,Delhi Indira Gandhi International Airport (DEL),4978
356,Indonesia,Jakarta Soekarno-Hatta International Airport (CGK),India,Chennai International Airport (MAA),3612
357,Indonesia,Jakarta Soekarno-Hatta International Airport (CGK),Philippines,Manila Ninoy Aquino International Airport (MNL),2779
358,Indonesia,Jakarta Soekarno-Hatta International Airport (CGK),Vietnam,Tan Son Nhat International Airport (SGN),1874
359,Indonesia,Jakarta Soekarno-Hatta International Airport (CGK),Bangladesh,Hazrat Shahjalal International Airport (DAC),3757
360,Indonesia,Jakarta Soekarno-Hatta International Airport (CGK),Pakistan,Jinnah International Airport (KHI),5485
361,Indonesia,Jakarta Soekarno-Hatta International Airport (CGK),UAE,Dubai International Airport (DXB),6544
362,Indonesia,Jakarta Soekarno-Hatta International Airport (CGK),Qatar,Hamad International Airport (DOH),6891
363,Indonesia,Jakarta Soekarno-Hatta International Airport (CGK),Turkey,Istanbul Airport (IST),9455
364,Indonesia,Jakarta Soekarno-Hatta International Airport (CGK),Saudi Arabia,King Abdulaziz International Airport (JED),7974
365,Philippines,Manila Ninoy Aquino International Airport (MNL),Hong Kong,Hong Kong International Airport (HKG),1143
366,Philippines,Manila Ninoy Aquino International Airport (MNL),China,Shanghai Pudong International Airport (PVG),1844
367,Philippines,Manila Ninoy Aquino International Airport (MNL),China,Guangzhou Baiyun International Airport (CAN),1275
368,Philippines,Manila Ninoy Aquino International Airport (MNL),China,Beijing Capital International Airport (PEK),2867
369,Philippines,Manila Ninoy Aquino International Airport (MNL),South Korea,Incheon International Airport (ICN),2599
370,Philippines,Manila Ninoy Aquino International Airport (MNL),Singapore,Singapore Changi Airport (SIN),2372
371,Philippines,Manila Ninoy Aquino International Airport (MNL),Taiwan,Taiwan Taoyuan International Airport (TPE),1170
372,Philippines,Manila Ninoy Aquino International Airport (MNL),Japan,Narita International Airport (NRT),3047
373,Philippines,Manila Ninoy Aquino International Airport (MNL),Japan,Tokyo Haneda Airport (HND),2991
374,Philippines,Manila Ninoy Aquino International Airport (MNL),Malaysia,Kuala Lumpur International Airport (KUL),2489
375,Philippines,Manila Ninoy Aquino International Airport (MNL),Thailand,Bangkok Suvarnabhumi Airport (BKK),2190
376,Philippines,Manila Ninoy Aquino International Airport (MNL),India,Delhi Indira Gandhi International Airport (DEL),4777
377,Philippines,Manila Ninoy Aquino International Airport (MNL),India,Chennai International Airport (MAA),4415
378,Philippines,Manila Ninoy Aquino International Airport (MNL),Indonesia,Jakarta Soekarno-Hatta International Airport (CGK),2779
379,Philippines,Manila Ninoy Aquino International Airport (MNL),Vietnam,Tan Son Nhat International Airport (SGN),1613
380,Philippines,Manila Ninoy Aquino International Airport (MNL),Bangladesh,Hazrat Shahjalal International Airport (DAC),3374
381,Philippines,Manila Ninoy Aquino International Airport (MNL),Pakistan,Jinnah International Airport (KHI),5727
382,Philippines,Manila Ninoy Aquino International Airport (MNL),UAE,Dubai International Airport (DXB),6915
383,Philippines,Manila Ninoy Aquino International Airport (MNL),Qatar,Hamad International Airport (DOH),7292
384,Philippines,Manila Ninoy Aquino International Airport (MNL),Turkey,Istanbul Airport (IST),9147
385,Philippines,Manila Ninoy Aquino International Airport (MNL),Saudi Arabia,King Abdulaziz International Airport (JED),8608
386,Vietnam,Tan Son Nhat International Airport (SGN),Hong Kong,Hong Kong International Airport (HKG),1489
387,Vietnam,Tan Son Nhat International Airport (SGN),China,Shanghai Pudong International Airport (PVG),2740
388,Vietnam,Tan Son Nhat International Airport (SGN),China,Guangzhou Baiyun International Airport (CAN),1561
389,Vietnam,Tan Son Nhat International Airport (SGN),China,Beijing Capital International Airport (PEK),3387
390,Vietnam,Tan Son Nhat International Airport (SGN),South Korea,Incheon International Airport (ICN),3554
391,Vietnam,Tan Son Nhat International Airport (SGN),Singapore,Singapore Changi Airport (SIN),1087
392,Vietnam,Tan Son Nhat International Airport (SGN),Taiwan,Taiwan Taoyuan International Airport (TPE),2204
393,Vietnam,Tan Son Nhat International Airport (SGN),Japan,Narita International Airport (NRT),4382
394,Vietnam,Tan Son Nhat International Airport (SGN),Japan,Tokyo Haneda Airport (HND),4322
395,Vietnam,Tan Son Nhat International Airport (SGN),Malaysia,Kuala Lumpur International Airport (KUL),1046
396,Vietnam,Tan Son Nhat International Airport (SGN),Thailand,Bangkok Suvarnabhumi Airport (BKK),716
397,Vietnam,Tan Son Nhat International Airport (SGN),India,Delhi Indira Gandhi International Airport (DEL),3650
398,Vietnam,Tan Son Nhat International Airport (SGN),India,Chennai International Airport (MAA),2894
399,Vietnam,Tan Son Nhat International Airport (SGN),Indonesia,Jakarta Soekarno-Hatta International Airport (CGK),1874
400,Vietnam,Tan Son Nhat International Airport (SGN),Philippines,Manila Ninoy Aquino International Airport (MNL),1613
401,Vietnam,Tan Son Nhat International Airport (SGN),Bangladesh,Hazrat Shahjalal International Airport (DAC),2246
402,Vietnam,Tan Son Nhat International Airport (SGN),Pakistan,Jinnah International Airport (KHI),4446
403,Vietnam,Tan Son Nhat International Airport (SGN),UAE,Dubai International Airport (DXB),5624
404,Vietnam,Tan Son Nhat International Airport (SGN),Qatar,Hamad International Airport (DOH),6001
405,Vietnam,Tan Son Nhat International Airport (SGN),Turkey,Istanbul Airport (IST),8216
406,Vietnam,Tan Son Nhat International Airport (SGN),Saudi Arabia,King Abdulaziz International Airport (JED),7264
407,Bangladesh,Hazrat Shahjalal International Airport (DAC),Hong Kong,Hong Kong International Airport (HKG),2413
408,Bangladesh,Hazrat Shahjalal International Airport (DAC),China,Shanghai Pudong International Airport (PVG),3195
409,Bangladesh,Hazrat Shahjalal International Airport (DAC),China,Guangzhou Baiyun International Airport (CAN),2336
410,Bangladesh,Hazrat Shahjalal International Airport (DAC),China,Beijing Capital International Airport (PEK),3041
411,Bangladesh,Hazrat Shahjalal International Airport (DAC),South Korea,Incheon International Airport (ICN),3740
412,Bangladesh,Hazrat Shahjalal International Airport (DAC),Singapore,Singapore Changi Airport (SIN),2889
413,Bangladesh,Hazrat Shahjalal International Airport (DAC),Taiwan,Taiwan Taoyuan International Airport (TPE),3122
414,Bangladesh,Hazrat Shahjalal International Airport (DAC),Japan,Narita International Airport (NRT),4954
415,Bangladesh,Hazrat Shahjalal International Airport (DAC),Japan,Tokyo Haneda Airport (HND),4899
416,Bangladesh,Hazrat Shahjalal International Airport (DAC),Malaysia,Kuala Lumpur International Airport (KUL),2633
417,Bangladesh,Hazrat Shahjalal International Airport (DAC),Thailand,Bangkok Suvarnabhumi Airport (BKK),1566
418,Bangladesh,Hazrat Shahjalal International Airport (DAC),India,Delhi Indira Gandhi International Airport (DEL),1427
419,Bangladesh,Hazrat Shahjalal International Airport (DAC),India,Chennai International Airport (MAA),1615
420,Bangladesh,Hazrat Shahjalal International Airport (DAC),Indonesia,Jakarta Soekarno-Hatta International Airport (CGK),3757
421,Bangladesh,Hazrat Shahjalal International Airport (DAC),Philippines,Manila Ninoy Aquino International Airport (MNL),3374
422,Bangladesh,Hazrat Shahjalal International Airport (DAC),Vietnam,Tan Son Nhat International Airport (SGN),2246
423,Bangladesh,Hazrat Shahjalal International Airport (DAC),Pakistan,Jinnah International Airport (KHI),2358
424,Bangladesh,Hazrat Shahjalal International Airport (DAC),UAE,Dubai International Airport (DXB),3543
425,Bangladesh,Hazrat Shahjalal International Airport (DAC),Qatar,Hamad International Airport (DOH),3919
426,Bangladesh,Hazrat Shahjalal International Airport (DAC),Turkey,Istanbul Airport (IST),5972
427,Bangladesh,Hazrat Shahjalal International Airport (DAC),Saudi Arabia,King Abdulaziz International Airport (JED),5240
428,Pakistan,Jinnah International Airport (KHI),Hong Kong,Hong Kong International Airport (HKG),4758
429,Pakistan,Jinnah International Airport (KHI),China,Shanghai Pudong International Airport (PVG),5365
430,Pakistan,Jinnah International Airport (KHI),China,Guangzhou Baiyun International Airport (CAN),4670
431,Pakistan,Jinnah International Airport (KHI),China,Beijing Capital International Airport (PEK),4870
432,Pakistan,Jinnah International Airport (KHI),South Korea,Incheon International Airport (ICN),5725
433,Pakistan,Jinnah International Airport (KHI),Singapore,Singapore Changi Airport (SIN),4738
434,Pakistan,Jinnah International Airport (KHI),Taiwan,Taiwan Taoyuan International Airport (TPE),5420
435,Pakistan,Jinnah International Airport (KHI),Japan,Narita International Airport (NRT),6986
436,Pakistan,Jinnah International Airport (KHI),Japan,Tokyo Haneda Airport (HND),6937
437,Pakistan,Jinnah International Airport (KHI),Malaysia,Kuala Lumpur International Airport (KUL),4442
438,Pakistan,Jinnah International Airport (KHI),Thailand,Bangkok Suvarnabhumi Airport (BKK),3730
439,Pakistan,Jinnah International Airport (KHI),India,Delhi Indira Gandhi International Airport (DEL),1068
440,Pakistan,Jinnah International Airport (KHI),India,Chennai International Airport (MAA),1899
441,Pakistan,Jinnah International Airport (KHI),Indonesia,Jakarta Soekarno-Hatta International Airport (CGK),5485
442,Pakistan,Jinnah International Airport (KHI),Philippines,Manila Ninoy Aquino International Airport (MNL),5727
443,Pakistan,Jinnah International Airport (KHI),Vietnam,Tan Son Nhat International Airport (SGN),4446
444,Pakistan,Jinnah International Airport (KHI),Bangladesh,Hazrat Shahjalal International Airport (DAC),2358
445,Pakistan,Jinnah International Airport (KHI),UAE,Dubai International Airport (DXB),1190
446,Pakistan,Jinnah International Airport (KHI),Qatar,Hamad International Airport (DOH),1569
447,Pakistan,Jinnah International Airport (KHI),Turkey,Istanbul Airport (IST),3976
448,Pakistan,Jinnah International Airport (KHI),Saudi Arabia,King Abdulaziz International Airport (JED),2883
449,UAE,Dubai International Airport (DXB),Hong Kong,Hong Kong International Airport (HKG),5930
450,UAE,Dubai International Airport (DXB),China,Shanghai Pudong International Airport (PVG),6460
451,UAE,Dubai International Airport (DXB),China,Guangzhou Baiyun International Airport (CAN),5838
452,UAE,Dubai International Airport (DXB),China,Beijing Capital International Airport (PEK),5855
453,UAE,Dubai International Airport (DXB),South Korea,Incheon International Airport (ICN),6740
454,UAE,Dubai International Airport (DXB),Singapore,Singapore Changi Airport (SIN),5847
455,UAE,Dubai International Airport (DXB),Taiwan,Taiwan Taoyuan International Airport (TPE),6567
456,UAE,Dubai International Airport (DXB),Japan,Narita International Airport (NRT),7994
457,UAE,Dubai International Airport (DXB),Japan,Tokyo Haneda Airport (HND),7949
458,UAE,Dubai International Airport (DXB),Malaysia,Kuala Lumpur International Airport (KUL),5550
459,UAE,Dubai International Airport (DXB),Thailand,Bangkok Suvarnabhumi Airport (BKK),4909
460,UAE,Dubai International Airport (DXB),India,Delhi Indira Gandhi International Airport (DEL),2187
461,UAE,Dubai International Airport (DXB),India,Chennai International Airport (MAA),2934
462,UAE,Dubai International Airport (DXB),Indonesia,Jakarta Soekarno-Hatta International Airport (CGK),6544
463,UAE,Dubai International Airport (DXB),Philippines,Manila Ninoy Aquino International Airport (MNL),6915
464,UAE,Dubai International Airport (DXB),Vietnam,Tan Son Nhat International Airport (SGN),5624
465,UAE,Dubai International Airport (DXB),Bangladesh,Hazrat Shahjalal International Airport (DAC),3543
466,UAE,Dubai International Airport (DXB),Pakistan,Jinnah International Airport (KHI),1190
467,UAE,Dubai International Airport (DXB),Qatar,Hamad International Airport (DOH),378
468,UAE,Dubai International Airport (DXB),Turkey,Istanbul Airport (IST),3030
469,UAE,Dubai International Airport (DXB),Saudi Arabia,King Abdulaziz International Airport (JED),1702
470,Qatar,Hamad International Airport (DOH),Hong Kong,Hong Kong International Airport (HKG),6301
471,Qatar,Hamad International Airport (DOH),China,Shanghai Pudong International Airport (PVG),6809
472,Qatar,Hamad International Airport (DOH),China,Guangzhou Baiyun International Airport (CAN),6208
473,Qatar,Hamad International Airport (DOH),China,Beijing Capital International Airport (PEK),6173
474,Qatar,Hamad International Airport (DOH),South Korea,Incheon International Airport (ICN),7065
475,Qatar,Hamad International Airport (DOH),Singapore,Singapore Changi Airport (SIN),6208
476,Qatar,Hamad International Airport (DOH),Taiwan,Taiwan Taoyuan International Airport (TPE),6930
477,Qatar,Hamad International Airport (DOH),Japan,Narita International Airport (NRT),8313
478,Qatar,Hamad International Airport (DOH),Japan,Tokyo Haneda Airport (HND),8270
479,Qatar,Hamad International Airport (DOH),Malaysia,Kuala Lumpur International Airport (KUL),5911
480,Qatar,Hamad International Airport (DOH),Thailand,Bangkok Suvarnabhumi Airport (BKK),5286
481,Qatar,Hamad International Airport (DOH),India,Delhi Indira Gandhi International Airport (DEL),2553
482,Qatar,Hamad International Airport (DOH),India,Chennai International Airport (MAA),3288
483,Qatar,Hamad International Airport (DOH),Indonesia,Jakarta Soekarno-Hatta International Airport (CGK),6891
484,Qatar,Hamad International Airport (DOH),Philippines,Manila Ninoy Aquino International Airport (MNL),7292
485,Qatar,Hamad International Airport (DOH),Vietnam,Tan Son Nhat International Airport (SGN),6001
486,Qatar,Hamad International Airport (DOH),Bangladesh,Hazrat Shahjalal International Airport (DAC),3919
487,Qatar,Hamad International Airport (DOH),Pakistan,Jinnah International Airport (KHI),1569
488,Qatar,Hamad International Airport (DOH),UAE,Dubai International Airport (DXB),378
489,Qatar,Hamad International Airport (DOH),Turkey,Istanbul Airport (IST),2756
490,Qatar,Hamad International Airport (DOH),Saudi Arabia,King Abdulaziz International Airport (JED),1333
491,Turkey,Istanbul Airport (IST),Hong Kong,Hong Kong International Airport (HKG),8020
492,Turkey,Istanbul Airport (IST),China,Shanghai Pudong International Airport (PVG),8038
493,Turkey,Istanbul Airport (IST),China,Guangzhou Baiyun International Airport (CAN),7897
494,Turkey,Istanbul Airport (IST),China,Beijing Capital International Airport (PEK),7077
495,Turkey,Istanbul Airport (IST),South Korea,Incheon International Airport (ICN),7942
496,Turkey,Istanbul Airport (IST),Singapore,Singapore Changi Airport (SIN),8681
497,Turkey,Istanbul Airport (IST),Taiwan,Taiwan Taoyuan International Airport (TPE),8413
498,Turkey,Istanbul Airport (IST),Japan,Narita International Airport (NRT),9000
499,Turkey,Istanbul Airport (IST),Japan,Tokyo Haneda Airport (HND),8978
500,Turkey,Istanbul Airport (IST),Malaysia,Kuala Lumpur International Airport (KUL),8389
501,Turkey,Istanbul Airport (IST),Thailand,Bangkok Suvarnabhumi Airport (BKK),7519
502,Turkey,Istanbul Airport (IST),India,Delhi Indira Gandhi International Airport (DEL),4574
503,Turkey,Istanbul Airport (IST),India,Chennai International Airport (MAA),5870
504,Turkey,Istanbul Airport (IST),Indonesia,Jakarta Soekarno-Hatta International Airport (CGK),9455
505,Turkey,Istanbul Airport (IST),Philippines,Manila Ninoy Aquino International Airport (MNL),9147
506,Turkey,Istanbul Airport (IST),Vietnam,Tan Son Nhat International Airport (SGN),8216
507,Turkey,Istanbul Airport (IST),Bangladesh,Hazrat Shahjalal International Airport (DAC),5972
508,Turkey,Istanbul Airport (IST),Pakistan,Jinnah International Airport (KHI),3976
509,Turkey,Istanbul Airport (IST),UAE,Dubai International Airport (DXB),3030
510,Turkey,Istanbul Airport (IST),Qatar,Hamad International Airport (DOH),2756
511,Turkey,Istanbul Airport (IST),Saudi Arabia,King Abdulaziz International Airport (JED),2384
512,Saudi Arabia,King Abdulaziz International Airport (JED),Hong Kong,Hong Kong International Airport (HKG),7632
513,Saudi Arabia,King Abdulaziz International Airport (JED),China,Shanghai Pudong International Airport (PVG),8129
514,Saudi Arabia,King Abdulaziz International Airport (JED),China,Guangzhou Baiyun International Airport (CAN),7540
515,Saudi Arabia,King Abdulaziz International Airport (JED),China,Beijing Capital International Airport (PEK),7450
516,Saudi Arabia,King Abdulaziz International Airport (JED),South Korea,Incheon International Airport (ICN),8349
517,Saudi Arabia,King Abdulaziz International Airport (JED),Singapore,Singapore Changi Airport (SIN),7365
518,Saudi Arabia,King Abdulaziz International Airport (JED),Taiwan,Taiwan Taoyuan International Airport (TPE),8263
519,Saudi Arabia,King Abdulaziz International Airport (JED),Japan,Narita International Airport (NRT),9585
520,Saudi Arabia,King Abdulaziz International Airport (JED),Japan,Tokyo Haneda Airport (HND),9544
521,Saudi Arabia,King Abdulaziz International Airport (JED),Malaysia,Kuala Lumpur International Airport (KUL),7071
522,Saudi Arabia,King Abdulaziz International Airport (JED),Thailand,Bangkok Suvarnabhumi Airport (BKK),6555
523,Saudi Arabia,King Abdulaziz International Airport (JED),India,Delhi Indira Gandhi International Airport (DEL),3886
524,Saudi Arabia,King Abdulaziz International Airport (JED),India,Chennai International Airport (MAA),4451
525,Saudi Arabia,King Abdulaziz International Airport (JED),Indonesia,Jakarta Soekarno-Hatta International Airport (CGK),7974
526,Saudi Arabia,King Abdulaziz International Airport (JED),Philippines,Manila Ninoy Aquino International Airport (MNL),8608
527,Saudi Arabia,King Abdulaziz International Airport (JED),Vietnam,Tan Son Nhat International Airport (SGN),7264
528,Saudi Arabia,King Abdulaziz International Airport (JED),Bangladesh,Hazrat Shahjalal International Airport (DAC),5240
529,Saudi Arabia,King Abdulaziz International Airport (JED),Pakistan,Jinnah International Airport (KHI),2883
530,Saudi Arabia,King Abdulaziz International Airport (JED),UAE,Dubai International Airport (DXB),1702
531,Saudi Arabia,King Abdulaziz International Airport (JED),Qatar,Hamad International Airport (DOH),1333
532,Saudi Arabia,King Abdulaziz International Airport (JED),Turkey,Istanbul Airport (IST),2384
533,Hong Kong,Hong Kong International Airport (HKG),Australia,Sydney Kingsford Smith Airport (SYD),7371
534,Hong Kong,Hong Kong International Airport (HKG),Australia,Melbourne Airport (MEL),7387
535,Hong Kong,Hong Kong International Airport (HKG),US,Los Angeles International Airport (LAX),11684
536,Hong Kong,Hong Kong International Airport (HKG),US,Chicago O'Hare International Airport (ORD),12543
537,Hong Kong,Hong Kong International Airport (HKG),US,John F. Kennedy International Airport (JFK),12990
538,China,Shanghai Pudong International Airport (PVG),Australia,Sydney Kingsford Smith Airport (SYD),7836
539,China,Shanghai Pudong International Airport (PVG),Australia,Melbourne Airport (MEL),7986
540,China,Shanghai Pudong International Airport (PVG),US,Los Angeles International Airport (LAX),10436
541,China,Shanghai Pudong International Airport (PVG),US,Chicago O'Hare International Airport (ORD),11357
542,China,Shanghai Pudong International Airport (PVG),US,John F. Kennedy International Airport (JFK),11897
543,China,Guangzhou Baiyun International Airport (CAN),Australia,Sydney Kingsford Smith Airport (SYD),7506
544,China,Guangzhou Baiyun International Airport (CAN),Australia,Melbourne Airport (MEL),7522
545,China,Guangzhou Baiyun International Airport (CAN),US,Los Angeles International Airport (LAX),11637
546,China,Guangzhou Baiyun International Airport (CAN),US,Chicago O'Hare International Airport (ORD),12447
547,China,Guangzhou Baiyun International Airport (CAN),US,John F. Kennedy International Airport (JFK),12877
548,China,Beijing Capital International Airport (PEK),Australia,Sydney Kingsford Smith Airport (SYD),8934
549,China,Beijing Capital International Airport (PEK),Australia,Melbourne Airport (MEL),9080
550,China,Beijing Capital International Airport (PEK),US,Los Angeles International Airport (LAX),10059
551,China,Beijing Capital International Airport (PEK),US,Chicago O'Hare International Airport (ORD),10588
552,China,Beijing Capital International Airport (PEK),US,John F. Kennedy International Airport (JFK),11004
553,South Korea,Incheon International Airport (ICN),Australia,Sydney Kingsford Smith Airport (SYD),8310
554,South Korea,Incheon International Airport (ICN),Australia,Melbourne Airport (MEL),8531
555,South Korea,Incheon International Airport (ICN),US,Los Angeles International Airport (LAX),9648
556,South Korea,Incheon International Airport (ICN),US,Chicago O'Hare International Airport (ORD),10545
557,South Korea,Incheon International Airport (ICN),US,John F. Kennedy International Airport (JFK),11115
558,Singapore,Singapore Changi Airport (SIN),Australia,Sydney Kingsford Smith Airport (SYD),6287
559,Singapore,Singapore Changi Airport (SIN),Australia,Melbourne Airport (MEL),6024
560,Singapore,Singapore Changi Airport (SIN),US,Los Angeles International Airport (LAX),14114
561,Singapore,Singapore Changi Airport (SIN),US,Chicago O'Hare International Airport (ORD),15060
562,Singapore,Singapore Changi Airport (SIN),US,John F. Kennedy International Airport (JFK),15348
563,Taiwan,Taiwan Taoyuan International Airport (TPE),Australia,Sydney Kingsford Smith Airport (SYD),7259
564,Taiwan,Taiwan Taoyuan International Airport (TPE),Australia,Melbourne Airport (MEL),7372
565,Taiwan,Taiwan Taoyuan International Airport (TPE),US,Los Angeles International Airport (LAX),10942
566,Taiwan,Taiwan Taoyuan International Airport (TPE),US,Chicago O'Hare International Airport (ORD),12001
567,Taiwan,Taiwan Taoyuan International Airport (TPE),US,John F. Kennedy International Airport (JFK),12566
568,Japan,Narita International Airport (NRT),Australia,Sydney Kingsford Smith Airport (SYD),7798
569,Japan,Narita International Airport (NRT),Australia,Melbourne Airport (MEL),8144
570,Japan,Narita International Airport (NRT),US,Los Angeles International Airport (LAX),8772
571,Japan,Narita International Airport (NRT),US,Chicago O'Hare International Airport (ORD),10097
572,Japan,Narita International Airport (NRT),US,John F. Kennedy International Airport (JFK),10853
573,Japan,Tokyo Haneda Airport (HND),Australia,Sydney Kingsford Smith Airport (SYD),7784
574,Japan,Tokyo Haneda Airport (HND),Australia,Melbourne Airport (MEL),8124
575,Japan,Tokyo Haneda Airport (HND),US,Los Angeles International Airport (LAX),8831
576,Japan,Tokyo Haneda Airport (HND),US,Chicago O'Hare International Airport (ORD),10147
577,Japan,Tokyo Haneda Airport (HND),US,John F. Kennedy International Airport (JFK),10899
578,Malaysia,Kuala Lumpur International Airport (KUL),Australia,Sydney Kingsford Smith Airport (SYD),6579
579,Malaysia,Kuala Lumpur International Airport (KUL),Australia,Melbourne Airport (MEL),6306
580,Malaysia,Kuala Lumpur International Airport (KUL),US,Los Angeles International Airport (LAX),14176
581,Malaysia,Kuala Lumpur International Airport (KUL),US,Chicago O'Hare International Airport (ORD),14958
582,Malaysia,Kuala Lumpur International Airport (KUL),US,John F. Kennedy International Airport (JFK),15178
583,Thailand,Bangkok Suvarnabhumi Airport (BKK),Australia,Sydney Kingsford Smith Airport (SYD),7502
